nsamples	nfactors
1	47
0	104
5	40
3	31
3	56
4	91
3	120
3	28
2	61
3	59
5	77
10	81
0	100
4	36
3	47
2	50
1	45
4	26
16	62
18	55
16	86
14	92
6	73
2	48
1	53
1	82
2	88
2	48
2	22
5	81
3	28
3	47
2	70
0	18
4	55
6	52
4	50
3	55
1	49
0	51
4	46
1	79
28	48
2	49
2	36
13	77
4	36
6	47
2	91
7	86
1	29
16	56
11	61
19	46
16	38
16	66
2	40
10	56
8	42
11	61
7	53
2	88
3	80
9	53
0	32
5	70
3	51
14	42
30	39
14	43
20	70
4	46
6	68
2	59
3	50
7	52
43	50
44	41
38	60
37	66
23	53
14	100
102	70
95	28
52	58
11	116
9	43
3	45
4	83
1	54
5	96
9	20
41	102
4	70
42	86
53	77
14	67
5	41
6	64
8	28
1	62
6	37
5	53
11	44
2	64
2	36
7	36
13	55
31	57
3	64
7	49
4	32
0	37
7	51
3	59
6	79
39	48
3	35
26	62
6	61
5	44
2	52
5	53
14	34
34	25
59	31
3	57
3	58
2	79
25	59
13	64
42	41
33	38
5	38
4	51
24	43
34	69
32	34
128	46
194	77
178	33
48	104
2	61
1	39
189	58
193	77
162	67
0	33
0	84
8	16
0	73
0	81
16	53
2	38
1	71
2	59
195	31
199	93
169	57
171	67
40	86
1	58
14	75
21	30
6	33
11	47
4	53
0	69
2	55
14	61
24	23
12	80
1	74
10	39
19	40
2	63
3	72
1	38
2	43
8	55
5	51
5	56
3	109
2	74
3	34
8	47
17	42
16	73
54	53
26	58
13	85
24	48
11	60
14	80
27	57
2	41
1	35
13	125
29	25
7	103
9	79
125	103
197	93
185	73
0	51
2	56
14	17
5	39
6	57
5	69
3	60
1	41
7	92
2	18
0	72
14	67
4	45
3	84
0	54
2	67
1	57
4	68
3	40
5	29
2	59
10	54
10	55
4	52
2	74
1	34
4	50
3	43
3	88
1	64
9	58
4	52
3	33
2	28
0	85
1	75
1	42
17	58
0	54
192	48
199	93
190	57
160	49
138	51
12	50
38	62
5	32
3	28
11	43
3	77
3	47
1	38
1	88
12	65
14	49
16	43
39	60
15	42
162	32
1	67
9	82
5	56
4	33
8	76
5	62
2	76
2	87
2	83
3	27
19	76
3	45
8	97
4	68
152	36
52	80
9	48
4	31
23	51
2	41
23	66
3	43
87	50
180	42
60	80
1	47
7	36
4	67
47	71
2	38
33	55
49	65
2	50
1	53
5	43
1	22
32	62
48	68
69	104
82	85
13	34
9	37
3	25
17	55
29	76
74	70
123	62
6	43
3	66
4	38
30	38
4	75
16	41
11	49
7	48
3	37
1	47
27	24
12	59
5	29
12	48
9	53
20	33
2	69
2	54
4	61
16	57
2	42
9	50
5	50
1	55
13	48
31	41
3	50
4	45
3	71
2	56
3	46
3	49
38	61
3	33
3	44
2	61
5	22
5	56
5	47
2	39
2	51
3	35
21	47
15	34
4	44
14	60
27	59
13	54
4	71
6	40
4	44
3	43
2	46
34	31
4	71
3	26
4	41
7	47
6	52
5	89
2	101
10	67
27	48
20	29
55	59
198	58
199	69
199	88
92	83
66	48
35	31
2	58
6	53
3	48
26	86
16	51
6	37
4	34
18	79
9	53
14	65
11	77
65	42
9	39
54	38
13	71
41	89
2	29
1	93
2	52
1	38
4	91
9	39
6	35
9	58
1	79
38	27
98	50
17	46
5	59
1	52
15	40
54	44
34	80
9	47
1	65
12	71
3	57
4	63
11	73
118	56
100	60
96	44
5	29
4	53
3	40
0	53
2	65
3	54
2	49
4	87
1	21
104	79
188	63
199	127
199	100
179	121
3	32
12	48
17	58
7	34
0	41
11	48
3	33
0	28
74	50
16	55
2	37
4	50
7	62
2	34
29	43
4	68
8	53
4	45
2	28
2	72
1	28
6	36
9	70
1	62
21	44
8	86
3	48
2	75
0	35
2	36
0	62
3	45
0	29
1	59
3	44
2	29
0	48
0	116
2	69
2	42
2	28
3	70
4	87
4	45
8	82
2	52
5	43
3	62
3	49
5	102
2	86
0	50
1	38
1	37
2	65
2	52
2	49
2	76
4	63
2	59
7	54
5	51
3	85
10	80
2	55
14	51
5	32
2	48
1	47
7	75
7	62
9	47
5	59
1	102
3	37
3	47
0	54
3	47
156	37
199	78
38	77
26	34
1	55
6	52
6	103
96	30
5	58
3	54
33	76
4	35
27	22
43	50
13	45
55	49
28	35
4	27
11	65
12	51
22	51
5	61
1	42
2	29
2	74
19	67
12	35
7	72
2	68
3	64
3	40
9	36
41	75
27	46
7	71
4	90
5	67
1	52
8	57
1	50
3	50
2	29
17	43
11	24
4	29
62	46
197	93
199	91
52	44
5	72
130	38
1	57
5	51
5	47
0	37
8	84
4	86
16	46
87	88
125	62
177	58
199	85
